<jemalloc>: option background_thread currently supports pthread only
           _                 _    
  __ _  __| |_ __ __ _ _ __ | |_  
 / _` |/ _` | '__/ _` | '_ \| __| 
| (_| | (_| | | | (_| | | | | |_  
 \__, |\__,_|_|  \__,_|_| |_|\__| 
    |_|                           

Version: 1.18.2, build: 44ad62f8
Access web UI at http://localhost:6333/dashboard
Agentic Skills: https://skills.qdrant.tech/

2026-07-05T14:34:12.589711Z  INFO actix_web::middleware::logger: 127.0.0.1 "PUT /collections/test_pytest_qdrant_platform HTTP/1.1" 409 120 "-" "python-client/1.18.0 python/3.14.5" 0.000095
2026-07-05T14:34:12.645696Z  INFO storage::content_manager::toc::collection_meta_ops: Creating collection test_pytest_qdrant_platform
2026-07-05T14:34:12.645752Z  INFO actix_web::middleware::logger: 127.0.0.1 "PUT /collections/test_pytest_qdrant_platform HTTP/1.1" 409 120 "-" "python-client/1.18.0 python/3.14.5" 0.000080
2026-07-05T14:34:12.751726Z  INFO storage::content_manager::toc::collection_meta_ops: Creating collection test_pytest_qdrant_platform
2026-07-05T14:34:12.751835Z  INFO actix_web::middleware::logger: 127.0.0.1 "PUT /collections/test_pytest_qdrant_platform HTTP/1.1" 409 120 "-" "python-client/1.18.0 python/3.14.5" 0.000149
2026-07-05T14:34:12.959161Z  INFO storage::content_manager::toc::collection_meta_ops: Creating collection test_pytest_qdrant_platform
2026-07-05T14:34:12.959456Z  INFO actix_web::middleware::logger: 127.0.0.1 "PUT /collections/test_pytest_qdrant_platform HTTP/1.1" 409 120 "-" "python-client/1.18.0 python/3.14.5" 0.000429
2026-07-05T14:34:13.015210Z  INFO actix_web::middleware::logger: 127.0.0.1 "GET /collections HTTP/1.1" 200 117 "-" "python-client/1.18.0 python/3.14.5" 0.000064
2026-07-05T14:34:23.108714Z  INFO actix_web::middleware::logger: 127.0.0.1 "GET /collections HTTP/1.1" 200 117 "-" "python-client/1.18.0 python/3.14.5" 0.000072
2026-07-05T14:34:23.109618Z  INFO actix_web::middleware::logger: 127.0.0.1 "GET /collections HTTP/1.1" 200 117 "-" "python-client/1.18.0 python/3.14.5" 0.000033
2026-07-05T14:34:23.116429Z  INFO actix_web::middleware::logger: 127.0.0.1 "GET /collections HTTP/1.1" 200 115 "-" "python-client/1.18.0 python/3.14.5" 0.000069
2026-07-05T14:34:23.117057Z  INFO storage::content_manager::toc::collection_meta_ops: Creating collection test_pytest_qdrant_platform
2026-07-05T14:34:23.117108Z  INFO actix_web::middleware::logger: 127.0.0.1 "PUT /collections/test_pytest_qdrant_platform HTTP/1.1" 409 120 "-" "python-client/1.18.0 python/3.14.5" 0.000081
2026-07-05T14:34:23.172578Z  INFO storage::content_manager::toc::collection_meta_ops: Creating collection test_pytest_qdrant_platform
2026-07-05T14:34:23.172683Z  INFO actix_web::middleware::logger: 127.0.0.1 "PUT /collections/test_pytest_qdrant_platform HTTP/1.1" 409 120 "-" "python-client/1.18.0 python/3.14.5" 0.000150
2026-07-05T14:34:23.278682Z  INFO storage::content_manager::toc::collection_meta_ops: Creating collection test_pytest_qdrant_platform
2026-07-05T14:34:23.278787Z  INFO actix_web::middleware::logger: 127.0.0.1 "PUT /collections/test_pytest_qdrant_platform HTTP/1.1" 409 120 "-" "python-client/1.18.0 python/3.14.5" 0.000146
2026-07-05T14:34:23.486014Z  INFO storage::content_manager::toc::collection_meta_ops: Creating collection test_pytest_qdrant_platform
2026-07-05T14:34:23.486317Z  INFO actix_web::middleware::logger: 127.0.0.1 "PUT /collections/test_pytest_qdrant_platform HTTP/1.1" 409 120 "-" "python-client/1.18.0 python/3.14.5" 0.000472
2026-07-05T14:34:23.537259Z  INFO actix_web::middleware::logger: 127.0.0.1 "GET /collections HTTP/1.1" 200 117 "-" "python-client/1.18.0 python/3.14.5" 0.000102
2026-07-05T14:34:32.110172Z  INFO actix_web::middleware::logger: 127.0.0.1 "GET /collections HTTP/1.1" 200 117 "-" "python-client/1.18.0 python/3.14.5" 0.000069
2026-07-05T14:34:32.111106Z  INFO actix_web::middleware::logger: 127.0.0.1 "GET /collections HTTP/1.1" 200 117 "-" "python-client/1.18.0 python/3.14.5" 0.000041
2026-07-05T14:34:32.121045Z  INFO actix_web::middleware::logger: 127.0.0.1 "GET /collections HTTP/1.1" 200 117 "-" "python-client/1.18.0 python/3.14.5" 0.000127
2026-07-05T14:34:32.122168Z  INFO actix_web::middleware::logger: 127.0.0.1 "GET /collections/test_pytest_qdrant_platform/exists HTTP/1.1" 200 79 "-" "python-client/1.18.0 python/3.14.5" 0.000079
2026-07-05T14:34:32.122998Z  INFO storage::content_manager::toc::collection_meta_ops: Deleting collection test_pytest_qdrant_platform
2026-07-05T14:34:32.128852Z  INFO actix_web::middleware::logger: 127.0.0.1 "DELETE /collections/test_pytest_qdrant_platform HTTP/1.1" 200 71 "-" "python-client/1.18.0 python/3.14.5" 0.005884
2026-07-05T14:34:32.129689Z  INFO storage::content_manager::toc::collection_meta_ops: Creating collection test_pytest_qdrant_platform
2026-07-05T14:34:32.440300Z  INFO actix_web::middleware::logger: 127.0.0.1 "PUT /collections/test_pytest_qdrant_platform HTTP/1.1" 200 69 "-" "python-client/1.18.0 python/3.14.5" 0.310658
2026-07-05T14:34:32.443493Z  INFO actix_web::middleware::logger: 127.0.0.1 "GET /collections/test_pytest_qdrant_platform/exists HTTP/1.1" 200 79 "-" "python-client/1.18.0 python/3.14.5" 0.000204
2026-07-05T14:34:32.602591Z  INFO actix_web::middleware::logger: 127.0.0.1 "PUT /collections/test_pytest_qdrant_platform/index?wait=true HTTP/1.1" 200 91 "-" "python-client/1.18.0 python/3.14.5" 0.157044
2026-07-05T14:34:32.606625Z  INFO actix_web::middleware::logger: 127.0.0.1 "GET /collections/test_pytest_qdrant_platform HTTP/1.1" 200 483 "-" "python-client/1.18.0 python/3.14.5" 0.000521
2026-07-05T14:34:32.612653Z  INFO actix_web::middleware::logger: 127.0.0.1 "PUT /collections/test_pytest_qdrant_platform/points?wait=true HTTP/1.1" 200 92 "-" "python-client/1.18.0 python/3.14.5" 0.002318
2026-07-05T14:34:32.616301Z  INFO actix_web::middleware::logger: 127.0.0.1 "POST /collections/test_pytest_qdrant_platform/points/query HTTP/1.1" 200 120 "-" "python-client/1.18.0 python/3.14.5" 0.000812
2026-07-05T14:34:32.619891Z  INFO actix_web::middleware::logger: 127.0.0.1 "POST /collections/test_pytest_qdrant_platform/points/delete?wait=true HTTP/1.1" 200 91 "-" "python-client/1.18.0 python/3.14.5" 0.001261
2026-07-05T14:34:32.621788Z  INFO actix_web::middleware::logger: 127.0.0.1 "POST /collections/test_pytest_qdrant_platform/points/query HTTP/1.1" 200 80 "-" "python-client/1.18.0 python/3.14.5" 0.000373
2026-07-05T14:34:32.622495Z  INFO storage::content_manager::toc::collection_meta_ops: Deleting collection test_pytest_qdrant_platform
2026-07-05T14:34:32.634901Z  INFO actix_web::middleware::logger: 127.0.0.1 "DELETE /collections/test_pytest_qdrant_platform HTTP/1.1" 200 71 "-" "python-client/1.18.0 python/3.14.5" 0.012443
2026-07-05T14:34:32.635794Z  INFO actix_web::middleware::logger: 127.0.0.1 "GET /collections/test_pytest_qdrant_platform/exists HTTP/1.1" 200 80 "-" "python-client/1.18.0 python/3.14.5" 0.000069
2026-07-05T14:34:32.650748Z  INFO actix_web::middleware::logger: 127.0.0.1 "GET /collections HTTP/1.1" 200 97 "-" "python-client/1.18.0 python/3.14.5" 0.000078
2026-07-05T14:41:06.318430Z  INFO actix_web::middleware::logger: 127.0.0.1 "GET /collections HTTP/1.1" 200 97 "-" "python-client/1.18.0 python/3.14.5" 0.000065
2026-07-05T14:41:06.319522Z  INFO actix_web::middleware::logger: 127.0.0.1 "GET /collections HTTP/1.1" 200 96 "-" "python-client/1.18.0 python/3.14.5" 0.000039
2026-07-05T14:41:06.326616Z  INFO actix_web::middleware::logger: 127.0.0.1 "GET /collections HTTP/1.1" 200 96 "-" "python-client/1.18.0 python/3.14.5" 0.000069
2026-07-05T14:41:06.327133Z  INFO actix_web::middleware::logger: 127.0.0.1 "GET /collections/test_pytest_qdrant_platform/exists HTTP/1.1" 200 78 "-" "python-client/1.18.0 python/3.14.5" 0.000041
2026-07-05T14:41:06.327930Z  INFO storage::content_manager::toc::collection_meta_ops: Creating collection test_pytest_qdrant_platform
2026-07-05T14:41:06.625287Z  INFO actix_web::middleware::logger: 127.0.0.1 "PUT /collections/test_pytest_qdrant_platform HTTP/1.1" 200 71 "-" "python-client/1.18.0 python/3.14.5" 0.297402
2026-07-05T14:41:06.629426Z  INFO actix_web::middleware::logger: 127.0.0.1 "GET /collections/test_pytest_qdrant_platform/exists HTTP/1.1" 200 78 "-" "python-client/1.18.0 python/3.14.5" 0.000219
2026-07-05T14:41:06.785267Z  INFO actix_web::middleware::logger: 127.0.0.1 "PUT /collections/test_pytest_qdrant_platform/index?wait=true HTTP/1.1" 200 90 "-" "python-client/1.18.0 python/3.14.5" 0.154059
2026-07-05T14:41:06.788782Z  INFO actix_web::middleware::logger: 127.0.0.1 "GET /collections/test_pytest_qdrant_platform HTTP/1.1" 200 481 "-" "python-client/1.18.0 python/3.14.5" 0.000399
2026-07-05T14:41:06.792189Z  INFO actix_web::middleware::logger: 127.0.0.1 "PUT /collections/test_pytest_qdrant_platform/points?wait=true HTTP/1.1" 200 91 "-" "python-client/1.18.0 python/3.14.5" 0.000904
2026-07-05T14:41:06.794199Z  INFO actix_web::middleware::logger: 127.0.0.1 "POST /collections/test_pytest_qdrant_platform/points/query HTTP/1.1" 200 119 "-" "python-client/1.18.0 python/3.14.5" 0.000465
2026-07-05T14:41:06.795716Z  INFO actix_web::middleware::logger: 127.0.0.1 "POST /collections/test_pytest_qdrant_platform/points/delete?wait=true HTTP/1.1" 200 90 "-" "python-client/1.18.0 python/3.14.5" 0.000233
2026-07-05T14:41:06.796818Z  INFO actix_web::middleware::logger: 127.0.0.1 "POST /collections/test_pytest_qdrant_platform/points/query HTTP/1.1" 200 80 "-" "python-client/1.18.0 python/3.14.5" 0.000221
2026-07-05T14:41:06.797402Z  INFO storage::content_manager::toc::collection_meta_ops: Deleting collection test_pytest_qdrant_platform
2026-07-05T14:41:06.810902Z  INFO actix_web::middleware::logger: 127.0.0.1 "DELETE /collections/test_pytest_qdrant_platform HTTP/1.1" 200 67 "-" "python-client/1.18.0 python/3.14.5" 0.013533
2026-07-05T14:41:06.811487Z  INFO actix_web::middleware::logger: 127.0.0.1 "GET /collections/test_pytest_qdrant_platform/exists HTTP/1.1" 200 80 "-" "python-client/1.18.0 python/3.14.5" 0.000048
2026-07-05T14:41:06.826971Z  INFO actix_web::middleware::logger: 127.0.0.1 "GET /collections HTTP/1.1" 200 97 "-" "python-client/1.18.0 python/3.14.5" 0.000075
2026-07-05T14:41:06.828423Z  INFO actix_web::middleware::logger: 127.0.0.1 "GET /collections/engineering_memory/exists HTTP/1.1" 200 80 "-" "python-client/1.18.0 python/3.14.5" 0.000103
2026-07-05T14:41:06.829489Z  INFO storage::content_manager::toc::collection_meta_ops: Creating collection engineering_memory
2026-07-05T14:41:07.131304Z  INFO actix_web::middleware::logger: 127.0.0.1 "PUT /collections/engineering_memory HTTP/1.1" 200 71 "-" "python-client/1.18.0 python/3.14.5" 0.301902
2026-07-05T14:41:07.282374Z  INFO actix_web::middleware::logger: 127.0.0.1 "PUT /collections/engineering_memory/index?wait=true HTTP/1.1" 200 92 "-" "python-client/1.18.0 python/3.14.5" 0.148664
